PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Hash
1,0,3,male,22.0,1,0,A/5 21171,7.25,,S,6c969dc7
2,1,1,female,38.0,1,0,PC 17599,71.2833,C85,C,f7ad2d69
3,1,3,female,26.0,0,0,STON/O2. 3101282,7.925,,S,7eb1fa77
4,1,1,female,35.0,1,0,113803,53.1,C123,S,c8a06e74
5,0,3,male,35.0,0,0,373450,8.05,,S,885e53ea
6,0,3,male,,0,0,330877,8.4583,,Q,fab68f7e
7,0,1,male,54.0,0,0,17463,51.8625,E46,S,558f7a85
8,0,3,male,2.0,3,1,349909,21.075,,S,cbd46ee4
9,1,3,female,27.0,0,2,347742,11.1333,,S,3f3b1d43
10,1,2,female,14.0,1,0,237736,30.0708,,C,c54fde5d
11,1,3,female,4.0,1,1,PP 9549,16.7,G6,S,97901174
12,1,1,female,58.0,0,0,113783,26.55,C103,S,0eb86cd7
13,0,3,male,20.0,0,0,A/5. 2151,8.05,,S,0384acda
14,0,3,male,39.0,1,5,347082,31.275,,S,a985d9cf
15,0,3,female,14.0,0,0,350406,7.8542,,S,d8e1ad4d
16,1,2,female,55.0,0,0,248706,16.0,,S,e46eaa96
17,0,3,male,2.0,4,1,382652,29.125,,Q,f508fe55
18,1,2,male,,0,0,244373,13.0,,S,511a68b4
19,0,3,female,31.0,1,0,345763,18.0,,S,236eeffb
20,1,3,female,,0,0,2649,7.225,,C,85e47437
21,0,2,male,35.0,0,0,239865,26.0,,S,98a687ae
22,1,2,male,34.0,0,0,248698,13.0,D56,S,b218f39a
23,1,3,female,15.0,0,0,330923,8.0292,,Q,065abc27
24,1,1,male,28.0,0,0,113788,35.5,A6,S,a39463cc
25,0,3,female,8.0,3,1,349909,21.075,,S,3dc05081
26,1,3,female,38.0,1,5,347077,31.3875,,S,aac51896
27,0,3,male,,0,0,2631,7.225,,C,c05a3f0b
28,0,1,male,19.0,3,2,19950,263.0,C23 C25 C27,S,2b0d1185
29,1,3,female,,0,0,330959,7.8792,,Q,93fd99ce
30,0,3,male,,0,0,349216,7.8958,,S,9b6b9c6b
31,0,1,male,40.0,0,0,PC 17601,27.7208,,C,abbb4b5e
32,1,1,female,,1,0,PC 17569,146.5208,B78,C,0096b593
33,1,3,female,,0,0,335677,7.75,,Q,f7312ab6
34,0,2,male,66.0,0,0,C.A. 24579,10.5,,S,a0477fd2
35,0,1,male,28.0,1,0,PC 17604,82.1708,,C,0b93db89
36,0,1,male,42.0,1,0,113789,52.0,,S,bae4087c
37,1,3,male,,0,0,2677,7.2292,,C,dc004cc1
38,0,3,male,21.0,0,0,A./5. 2152,8.05,,S,5bb4835e
39,0,3,female,18.0,2,0,345764,18.0,,S,af188059
40,1,3,female,14.0,1,0,2651,11.2417,,C,5a6ce92c
41,0,3,female,40.0,1,0,7546,9.475,,S,44b5884a
42,0,2,female,27.0,1,0,11668,21.0,,S,5e6a55df
43,0,3,male,,0,0,349253,7.8958,,C,bf7b6511
44,1,2,female,3.0,1,2,SC/Paris 2123,41.5792,,C,f96bc1a6
45,1,3,female,19.0,0,0,330958,7.8792,,Q,9f818739
46,0,3,male,,0,0,S.C./A.4. 23567,8.05,,S,948059af
47,0,3,male,,1,0,370371,15.5,,Q,19162f22
48,1,3,female,,0,0,14311,7.75,,Q,d03167f9
49,0,3,male,,2,0,2662,21.6792,,C,845d62b1
50,0,3,female,18.0,1,0,349237,17.8,,S,7cbc41b6
51,0,3,male,7.0,4,1,3101295,39.6875,,S,0d4593e3
52,0,3,male,21.0,0,0,A/4. 39886,7.8,,S,fc6d619d
53,1,1,female,49.0,1,0,PC 17572,76.7292,D33,C,fc2e90ad
54,1,2,female,29.0,1,0,2926,26.0,,S,2795be35
55,0,1,male,65.0,0,1,113509,61.9792,B30,C,15ae69e7
56,1,1,male,,0,0,19947,35.5,C52,S,56ca84cb
57,1,2,female,21.0,0,0,C.A. 31026,10.5,,S,e9897dbe
58,0,3,male,28.5,0,0,2697,7.2292,,C,323a74bf
59,1,2,female,5.0,1,2,C.A. 34651,27.75,,S,aa415d27
60,0,3,male,11.0,5,2,CA 2144,46.9,,S,11080a6e
61,0,3,male,22.0,0,0,2669,7.2292,,C,32fdbc06
62,1,1,female,38.0,0,0,113572,80.0,B28,,e8968ac4
63,0,1,male,45.0,1,0,36973,83.475,C83,S,206d2680
64,0,3,male,4.0,3,2,347088,27.9,,S,59630cd3
65,0,1,male,,0,0,PC 17605,27.7208,,C,109f1a64
66,1,3,male,,1,1,2661,15.2458,,C,84a1c27c
67,1,2,female,29.0,0,0,C.A. 29395,10.5,F33,S,6c2ddd0a
68,0,3,male,19.0,0,0,S.P. 3464,8.1583,,S,8b61c0f6
69,1,3,female,17.0,4,2,3101281,7.925,,S,262b2e04
70,0,3,male,26.0,2,0,315151,8.6625,,S,c71b18eb
71,0,2,male,32.0,0,0,C.A. 33111,10.5,,S,321b1bba
72,0,3,female,16.0,5,2,CA 2144,46.9,,S,d3292de2
73,0,2,male,21.0,0,0,S.O.C. 14879,73.5,,S,0431676a
74,0,3,male,26.0,1,0,2680,14.4542,,C,0f7cbe8d
75,1,3,male,32.0,0,0,1601,56.4958,,S,a9548df6
76,0,3,male,25.0,0,0,348123,7.65,F G73,S,668c6be4
77,0,3,male,,0,0,349208,7.8958,,S,50c8f021
78,0,3,male,,0,0,374746,8.05,,S,bcee2fbf
79,1,2,male,0.83,0,2,248738,29.0,,S,3709e8b1
80,1,3,female,30.0,0,0,364516,12.475,,S,da555c60
81,0,3,male,22.0,0,0,345767,9.0,,S,2b698c78
82,1,3,male,29.0,0,0,345779,9.5,,S,2d273a02
83,1,3,female,,0,0,330932,7.7875,,Q,c5bb95fb
84,0,1,male,28.0,0,0,113059,47.1,,S,136caeea
85,1,2,female,17.0,0,0,SO/C 14885,10.5,,S,cad5ffa5
86,1,3,female,33.0,3,0,3101278,15.85,,S,4929ebd3
87,0,3,male,16.0,1,3,W./C. 6608,34.375,,S,104ffc72
88,0,3,male,,0,0,SOTON/OQ 392086,8.05,,S,95f0ef7b
89,1,1,female,23.0,3,2,19950,263.0,C23 C25 C27,S,10fa7807
90,0,3,male,24.0,0,0,343275,8.05,,S,e34e0d5b
91,0,3,male,29.0,0,0,343276,8.05,,S,c5ce7b6c
92,0,3,male,20.0,0,0,347466,7.8542,,S,da51bb29
93,0,1,male,46.0,1,0,W.E.P. 5734,61.175,E31,S,a1a93e10
94,0,3,male,26.0,1,2,C.A. 2315,20.575,,S,6aa8c974
95,0,3,male,59.0,0,0,364500,7.25,,S,44906146
96,0,3,male,,0,0,374910,8.05,,S,dc66d7cd
97,0,1,male,71.0,0,0,PC 17754,34.6542,A5,C,8cd0678d
98,1,1,male,23.0,0,1,PC 17759,63.3583,D10 D12,C,1f6fff5b
99,1,2,female,34.0,0,1,231919,23.0,,S,9d837a1f
100,0,2,male,34.0,1,0,244367,26.0,,S,8c5de914
101,0,3,female,28.0,0,0,349245,7.8958,,S,95322a68
102,0,3,male,,0,0,349215,7.8958,,S,bb0667a8
103,0,1,male,21.0,0,1,35281,77.2875,D26,S,a145c6dd
104,0,3,male,33.0,0,0,7540,8.6542,,S,94b7d445
105,0,3,male,37.0,2,0,3101276,7.925,,S,ce266d8c
106,0,3,male,28.0,0,0,349207,7.8958,,S,24de4e7f
107,1,3,female,21.0,0,0,343120,7.65,,S,6af9137f
108,1,3,male,,0,0,312991,7.775,,S,3a44460f
109,0,3,male,38.0,0,0,349249,7.8958,,S,2c1a0901
110,1,3,female,,1,0,371110,24.15,,Q,53bc21c1
111,0,1,male,47.0,0,0,110465,52.0,C110,S,77b81d22
112,0,3,female,14.5,1,0,2665,14.4542,,C,207cc5bf
113,0,3,male,22.0,0,0,324669,8.05,,S,1c3d1b82
114,0,3,female,20.0,1,0,4136,9.825,,S,6be2c591
115,0,3,female,17.0,0,0,2627,14.4583,,C,e9295c21
116,0,3,male,21.0,0,0,STON/O 2. 3101294,7.925,,S,960ce539
117,0,3,male,70.5,0,0,370369,7.75,,Q,4e6d1160
118,0,2,male,29.0,1,0,11668,21.0,,S,32218a63
119,0,1,male,24.0,0,1,PC 17558,247.5208,B58 B60,C,49fce423
120,0,3,female,2.0,4,2,347082,31.275,,S,bdde7a16
121,0,2,male,21.0,2,0,S.O.C. 14879,73.5,,S,238ea665
122,0,3,male,,0,0,A4. 54510,8.05,,S,ebd0ec9e
123,0,2,male,32.5,1,0,237736,30.0708,,C,c38fe780
124,1,2,female,32.5,0,0,27267,13.0,E101,S,974b9f35
125,0,1,male,54.0,0,1,35281,77.2875,D26,S,23f47f19
126,1,3,male,12.0,1,0,2651,11.2417,,C,2322a1b8
127,0,3,male,,0,0,370372,7.75,,Q,cebd06a4
128,1,3,male,24.0,0,0,C 17369,7.1417,,S,57442127
129,1,3,female,,1,1,2668,22.3583,F E69,C,71ee6023
130,0,3,male,45.0,0,0,347061,6.975,,S,b01e8f66
131,0,3,male,33.0,0,0,349241,7.8958,,C,35cd2424
132,0,3,male,20.0,0,0,SOTON/O.Q. 3101307,7.05,,S,a6a43637
133,0,3,female,47.0,1,0,A/5. 3337,14.5,,S,a92eb459
134,1,2,female,29.0,1,0,228414,26.0,,S,ab11516b
135,0,2,male,25.0,0,0,C.A. 29178,13.0,,S,0e4e9f75
136,0,2,male,23.0,0,0,SC/PARIS 2133,15.0458,,C,7ad199a1
137,1,1,female,19.0,0,2,11752,26.2833,D47,S,b0d9142d
138,0,1,male,37.0,1,0,113803,53.1,C123,S,971c417e
139,0,3,male,16.0,0,0,7534,9.2167,,S,e4b83352
140,0,1,male,24.0,0,0,PC 17593,79.2,B86,C,c3db8b38
141,0,3,female,,0,2,2678,15.2458,,C,933aefef
142,1,3,female,22.0,0,0,347081,7.75,,S,568b8586
143,1,3,female,24.0,1,0,STON/O2. 3101279,15.85,,S,81ac3910
144,0,3,male,19.0,0,0,365222,6.75,,Q,49757ff7
145,0,2,male,18.0,0,0,231945,11.5,,S,1f48bc0c
146,0,2,male,19.0,1,1,C.A. 33112,36.75,,S,e37cc1d4
147,1,3,male,27.0,0,0,350043,7.7958,,S,891130f5
148,0,3,female,9.0,2,2,W./C. 6608,34.375,,S,0c74869f
149,0,2,male,36.5,0,2,230080,26.0,F2,S,ce08fab4
150,0,2,male,42.0,0,0,244310,13.0,,S,c5afee51
151,0,2,male,51.0,0,0,S.O.P. 1166,12.525,,S,ad1cfa19
152,1,1,female,22.0,1,0,113776,66.6,C2,S,7e53dd0e
153,0,3,male,55.5,0,0,A.5. 11206,8.05,,S,6845f9ea
154,0,3,male,40.5,0,2,A/5. 851,14.5,,S,4554dcb6
155,0,3,male,,0,0,Fa 265302,7.3125,,S,c34b449c
156,0,1,male,51.0,0,1,PC 17597,61.3792,,C,ed100701
157,1,3,female,16.0,0,0,35851,7.7333,,Q,4a766aab
158,0,3,male,30.0,0,0,SOTON/OQ 392090,8.05,,S,36eb660a
159,0,3,male,,0,0,315037,8.6625,,S,9f6dc6d1
160,0,3,male,,8,2,CA. 2343,69.55,,S,4b75799c
161,0,3,male,44.0,0,1,371362,16.1,,S,5c625066
162,1,2,female,40.0,0,0,C.A. 33595,15.75,,S,2958bd7c
163,0,3,male,26.0,0,0,347068,7.775,,S,a6a8c44e
164,0,3,male,17.0,0,0,315093,8.6625,,S,257f5ba0
165,0,3,male,1.0,4,1,3101295,39.6875,,S,15abde15
166,1,3,male,9.0,0,2,363291,20.525,,S,1619733f
167,1,1,female,,0,1,113505,55.0,E33,S,942f07ee
168,0,3,female,45.0,1,4,347088,27.9,,S,2a001f6f
169,0,1,male,,0,0,PC 17318,25.925,,S,f1e5a48e
170,0,3,male,28.0,0,0,1601,56.4958,,S,e688a6e1
171,0,1,male,61.0,0,0,111240,33.5,B19,S,557b8e5b
172,0,3,male,4.0,4,1,382652,29.125,,Q,2be66c98
173,1,3,female,1.0,1,1,347742,11.1333,,S,8cfaeb18
174,0,3,male,21.0,0,0,STON/O 2. 3101280,7.925,,S,5dfc1e31
175,0,1,male,56.0,0,0,17764,30.6958,A7,C,4d6fa0fc
176,0,3,male,18.0,1,1,350404,7.8542,,S,bebe25c0
177,0,3,male,,3,1,4133,25.4667,,S,19f87518
178,0,1,female,50.0,0,0,PC 17595,28.7125,C49,C,a10d0461
179,0,2,male,30.0,0,0,250653,13.0,,S,5ee3e456
180,0,3,male,36.0,0,0,LINE,0.0,,S,44254399
181,0,3,female,,8,2,CA. 2343,69.55,,S,5222b037
182,0,2,male,,0,0,SC/PARIS 2131,15.05,,C,7eb7d6da
183,0,3,male,9.0,4,2,347077,31.3875,,S,9d51ca70
184,1,2,male,1.0,2,1,230136,39.0,F4,S,13c513f0
185,1,3,female,4.0,0,2,315153,22.025,,S,d7e539ad
186,0,1,male,,0,0,113767,50.0,A32,S,f6c7ff13
187,1,3,female,,1,0,370365,15.5,,Q,ef52bd7f
188,1,1,male,45.0,0,0,111428,26.55,,S,4a8966e6
189,0,3,male,40.0,1,1,364849,15.5,,Q,94a6896d
190,0,3,male,36.0,0,0,349247,7.8958,,S,4804f78f
191,1,2,female,32.0,0,0,234604,13.0,,S,72fc9bde
192,0,2,male,19.0,0,0,28424,13.0,,S,bd5c580c
193,1,3,female,19.0,1,0,350046,7.8542,,S,709cfca3
194,1,2,male,3.0,1,1,230080,26.0,F2,S,82074d04
195,1,1,female,44.0,0,0,PC 17610,27.7208,B4,C,8b3c56f2
196,1,1,female,58.0,0,0,PC 17569,146.5208,B80,C,6191666f
197,0,3,male,,0,0,368703,7.75,,Q,bcb940ed
198,0,3,male,42.0,0,1,4579,8.4042,,S,e4333982
199,1,3,female,,0,0,370370,7.75,,Q,a259c1f7
200,0,2,female,24.0,0,0,248747,13.0,,S,cea5f98b
201,0,3,male,28.0,0,0,345770,9.5,,S,2bb505ec
202,0,3,male,,8,2,CA. 2343,69.55,,S,589a76e7
203,0,3,male,34.0,0,0,3101264,6.4958,,S,0eb4359a
204,0,3,male,45.5,0,0,2628,7.225,,C,f6f93be1
205,1,3,male,18.0,0,0,A/5 3540,8.05,,S,52f741f2
206,0,3,female,2.0,0,1,347054,10.4625,G6,S,de82902d
207,0,3,male,32.0,1,0,3101278,15.85,,S,e3078bd6
208,1,3,male,26.0,0,0,2699,18.7875,,C,0fbc35e3
209,1,3,female,16.0,0,0,367231,7.75,,Q,09ec74b1
210,1,1,male,40.0,0,0,112277,31.0,A31,C,2bddf877
211,0,3,male,24.0,0,0,SOTON/O.Q. 3101311,7.05,,S,fd376c05
212,1,2,female,35.0,0,0,F.C.C. 13528,21.0,,S,ef0fad34
213,0,3,male,22.0,0,0,A/5 21174,7.25,,S,e1e6423b
214,0,2,male,30.0,0,0,250646,13.0,,S,405a5e02
215,0,3,male,,1,0,367229,7.75,,Q,3876c1a3
216,1,1,female,31.0,1,0,35273,113.275,D36,C,35c91240
217,1,3,female,27.0,0,0,STON/O2. 3101283,7.925,,S,a707bf9a
218,0,2,male,42.0,1,0,243847,27.0,,S,99a74ddc
219,1,1,female,32.0,0,0,11813,76.2917,D15,C,084538f3
220,0,2,male,30.0,0,0,W/C 14208,10.5,,S,87981a90
221,1,3,male,16.0,0,0,SOTON/OQ 392089,8.05,,S,2f1e495b
222,0,2,male,27.0,0,0,220367,13.0,,S,e1315bce
223,0,3,male,51.0,0,0,21440,8.05,,S,3ab94372
224,0,3,male,,0,0,349234,7.8958,,S,f9eca582
225,1,1,male,38.0,1,0,19943,90.0,C93,S,5f5f9d87
226,0,3,male,22.0,0,0,PP 4348,9.35,,S,968ae7c6
227,1,2,male,19.0,0,0,SW/PP 751,10.5,,S,fee89b75
228,0,3,male,20.5,0,0,A/5 21173,7.25,,S,2608543a
229,0,2,male,18.0,0,0,236171,13.0,,S,572055eb
230,0,3,female,,3,1,4133,25.4667,,S,4179b28f
231,1,1,female,35.0,1,0,36973,83.475,C83,S,f7ef7e0e
232,0,3,male,29.0,0,0,347067,7.775,,S,726fa0b8
233,0,2,male,59.0,0,0,237442,13.5,,S,17cf17a6
234,1,3,female,5.0,4,2,347077,31.3875,,S,5920375c
235,0,2,male,24.0,0,0,C.A. 29566,10.5,,S,0f6b4d05
236,0,3,female,,0,0,W./C. 6609,7.55,,S,b4516f7e
237,0,2,male,44.0,1,0,26707,26.0,,S,abd6bbc3
238,1,2,female,8.0,0,2,C.A. 31921,26.25,,S,6fc5fbd4
239,0,2,male,19.0,0,0,28665,10.5,,S,9de3cd74
240,0,2,male,33.0,0,0,SCO/W 1585,12.275,,S,9850de00
241,0,3,female,,1,0,2665,14.4542,,C,0ccb81b8
242,1,3,female,,1,0,367230,15.5,,Q,760853f6
243,0,2,male,29.0,0,0,W./C. 14263,10.5,,S,e5773607
244,0,3,male,22.0,0,0,STON/O 2. 3101275,7.125,,S,55f6e1e9
245,0,3,male,30.0,0,0,2694,7.225,,C,b83e987f
246,0,1,male,44.0,2,0,19928,90.0,C78,Q,43aef668
247,0,3,female,25.0,0,0,347071,7.775,,S,a4a8aceb
248,1,2,female,24.0,0,2,250649,14.5,,S,0da8c264
249,1,1,male,37.0,1,1,11751,52.5542,D35,S,c8749b18
250,0,2,male,54.0,1,0,244252,26.0,,S,6718e6f5
251,0,3,male,,0,0,362316,7.25,,S,7d248b7b
252,0,3,female,29.0,1,1,347054,10.4625,G6,S,185c5727
253,0,1,male,62.0,0,0,113514,26.55,C87,S,b71466b7
254,0,3,male,30.0,1,0,A/5. 3336,16.1,,S,4b752b6b
255,0,3,female,41.0,0,2,370129,20.2125,,S,a14036b2
256,1,3,female,29.0,0,2,2650,15.2458,,C,fb9dde9f
257,1,1,female,,0,0,PC 17585,79.2,,C,a8189a7b
258,1,1,female,30.0,0,0,110152,86.5,B77,S,e23d0899
259,1,1,female,35.0,0,0,PC 17755,512.3292,,C,fe3fdfb6
260,1,2,female,50.0,0,1,230433,26.0,,S,dd5acc55
261,0,3,male,,0,0,384461,7.75,,Q,2a2a8760
262,1,3,male,3.0,4,2,347077,31.3875,,S,5c9c5a13
263,0,1,male,52.0,1,1,110413,79.65,E67,S,7f44187c
264,0,1,male,40.0,0,0,112059,0.0,B94,S,db7ba169
265,0,3,female,,0,0,382649,7.75,,Q,34a7d02f
266,0,2,male,36.0,0,0,C.A. 17248,10.5,,S,1846e3fa
267,0,3,male,16.0,4,1,3101295,39.6875,,S,78e940fb
268,1,3,male,25.0,1,0,347083,7.775,,S,36bb96ab
269,1,1,female,58.0,0,1,PC 17582,153.4625,C125,S,01f5bd78
270,1,1,female,35.0,0,0,PC 17760,135.6333,C99,S,2caa8b30
271,0,1,male,,0,0,113798,31.0,,S,78cc3eb5
272,1,3,male,25.0,0,0,LINE,0.0,,S,e6ac227d
273,1,2,female,41.0,0,1,250644,19.5,,S,f0f5a2b4
274,0,1,male,37.0,0,1,PC 17596,29.7,C118,C,a271676d
275,1,3,female,,0,0,370375,7.75,,Q,03c5c3bd
276,1,1,female,63.0,1,0,13502,77.9583,D7,S,291e1795
277,0,3,female,45.0,0,0,347073,7.75,,S,a66f38f3
278,0,2,male,,0,0,239853,0.0,,S,94746719
279,0,3,male,7.0,4,1,382652,29.125,,Q,0292c599
280,1,3,female,35.0,1,1,C.A. 2673,20.25,,S,203278e0
281,0,3,male,65.0,0,0,336439,7.75,,Q,1db7ca06
282,0,3,male,28.0,0,0,347464,7.8542,,S,c6c8bffd
283,0,3,male,16.0,0,0,345778,9.5,,S,ecfaead4
284,1,3,male,19.0,0,0,A/5. 10482,8.05,,S,b43c02fb
285,0,1,male,,0,0,113056,26.0,A19,S,6aa8c7d8
286,0,3,male,33.0,0,0,349239,8.6625,,C,ae7faad8
287,1,3,male,30.0,0,0,345774,9.5,,S,5cb78658
288,0,3,male,22.0,0,0,349206,7.8958,,S,588a3258
289,1,2,male,42.0,0,0,237798,13.0,,S,232668e4
290,1,3,female,22.0,0,0,370373,7.75,,Q,44d95842
291,1,1,female,26.0,0,0,19877,78.85,,S,1db04210
292,1,1,female,19.0,1,0,11967,91.0792,B49,C,660dece7
293,0,2,male,36.0,0,0,SC/Paris 2163,12.875,D,C,c5885950
294,0,3,female,24.0,0,0,349236,8.85,,S,a72ebb56
295,0,3,male,24.0,0,0,349233,7.8958,,S,21ea8b95
296,0,1,male,,0,0,PC 17612,27.7208,,C,7d0afcea
297,0,3,male,23.5,0,0,2693,7.2292,,C,bf21ef9c
