,Lig,Tarih,EvSahibi,Deplasman,MSES,MSD,SON,IYES,IYD,IYS,ESS,DS,ESIS,DIS,ESF,DF,ESK,DK,ESS.1,DS.1,ESK.1,DK.1
0,T1,10/08/2018,Ankaragucu,Galatasaray,1,3,D,1,2,D,3,12,1,4,15,9,2,4,2,2,0,0.0
1,T1,11/08/2018,Fenerbahce,Bursaspor,2,1,E,2,1,E,7,6,2,3,12,15,4,4,3,3,0,0.0
2,T1,11/08/2018,Rizespor,Kasimpasa,2,3,D,1,0,E,8,14,5,6,13,14,3,6,2,1,0,0.0
3,T1,11/08/2018,Sivasspor,Alanyaspor,1,0,E,0,0,B,12,9,5,3,13,16,4,7,1,3,0,0.0
4,T1,12/08/2018,Besiktas,Akhisar Belediyespor,2,1,E,2,0,E,13,8,4,4,17,16,12,3,3,6,0,0.0
5,T1,12/08/2018,Basaksehir,Trabzonspor,2,0,E,1,0,E,15,8,5,0,16,15,9,2,2,2,0,0.0
6,T1,12/08/2018,Goztep,Yeni Malatyaspor,1,3,D,0,1,D,10,6,4,3,11,11,4,0,4,5,2,1.0
7,T1,12/08/2018,Konyaspor,Erzurum BB,3,2,E,2,1,E,16,6,9,4,11,14,4,7,1,2,0,0.0
8,T1,13/08/2018,Kayserispor,Antalyaspor,2,0,E,1,0,E,8,4,5,1,16,8,6,2,0,2,0,1.0
9,T1,17/08/2018,Trabzonspor,Sivasspor,3,1,E,3,1,E,10,12,8,3,12,19,8,5,1,4,0,0.0
10,T1,18/08/2018,Antalyaspor,Konyaspor,3,3,B,1,2,D,12,10,9,4,17,19,7,3,1,5,0,1.0
11,T1,18/08/2018,Bursaspor,Kayserispor,0,0,B,0,0,B,9,4,2,0,11,12,6,4,2,2,0,0.0
12,T1,18/08/2018,Yeni Malatyaspor,Fenerbahce,1,0,E,0,0,B,14,13,2,4,14,9,2,3,2,0,0,0.0
13,T1,19/08/2018,Akhisar Belediyespor,Rizespor,1,1,B,0,1,D,8,24,3,10,18,14,4,3,0,1,1,0.0
14,T1,19/08/2018,Alanyaspor,Ankaragucu,0,2,D,0,0,B,19,5,5,4,19,15,6,2,3,6,1,1.0
15,T1,19/08/2018,Erzurum BB,Besiktas,1,3,D,1,0,E,10,10,3,6,11,7,9,9,0,3,0,0.0
16,T1,19/08/2018,Galatasaray,Goztep,1,0,E,1,0,E,11,9,5,2,13,14,6,6,4,2,0,0.0
17,T1,20/08/2018,Kasimpasa,Basaksehir,2,1,E,0,0,B,13,15,3,5,18,16,5,2,0,3,0,0.0
18,T1,24/08/2018,Rizespor,Erzurum BB,0,0,B,0,0,B,9,11,2,3,9,20,4,7,1,1,0,0.0
19,T1,25/08/2018,Ankaragucu,Trabzonspor,2,2,B,1,1,B,15,9,6,7,11,12,5,9,2,2,0,0.0
20,T1,25/08/2018,Goztep,Fenerbahce,1,0,E,0,0,B,5,9,1,1,16,16,4,5,2,1,0,0.0
21,T1,25/08/2018,Kayserispor,Yeni Malatyaspor,0,0,B,0,0,B,13,6,5,2,15,13,4,6,2,1,0,0.0
22,T1,26/08/2018,Besiktas,Antalyaspor,2,3,D,1,3,D,28,7,10,5,15,19,12,1,2,7,0,0.0
23,T1,26/08/2018,Konyaspor,Bursaspor,1,1,B,1,1,B,16,12,6,4,18,14,11,6,2,3,0,0.0
24,T1,26/08/2018,Sivasspor,Kasimpasa,0,3,D,0,1,D,31,9,3,6,8,9,7,2,0,3,0,0.0
25,T1,27/08/2018,Basaksehir,Akhisar Belediyespor,3,1,E,1,1,B,19,9,6,2,9,14,6,2,2,4,0,0.0
26,T1,27/08/2018,Galatasaray,Alanyaspor,6,0,E,1,0,E,17,4,9,1,12,7,4,1,0,1,0,0.0
27,T1,31/08/2018,Yeni Malatyaspor,Konyaspor,0,1,D,0,1,D,11,6,3,4,9,23,3,1,2,4,0,0.0
28,T1,01/09/2018,Akhisar Belediyespor,Sivasspor,1,1,B,0,0,B,22,11,6,4,19,17,5,1,1,3,0,0.0
29,T1,01/09/2018,Alanyaspor,Goztep,1,0,E,0,0,B,9,10,2,2,16,12,5,8,2,2,0,0.0
30,T1,01/09/2018,Fenerbahce,Kayserispor,2,3,D,1,0,E,15,20,4,11,11,12,4,4,4,2,0,1.0
31,T1,01/09/2018,Trabzonspor,Galatasaray,4,0,E,3,0,E,13,8,6,0,11,7,1,1,2,1,0,1.0
32,T1,02/09/2018,Antalyaspor,Rizespor,2,1,E,0,1,D,13,6,4,2,12,13,5,5,3,3,1,1.0
33,T1,02/09/2018,Bursaspor,Besiktas,1,1,B,0,0,B,9,11,3,4,14,15,4,3,2,2,0,0.0
34,T1,02/09/2018,Erzurum BB,Basaksehir,0,1,D,0,1,D,16,5,3,2,13,11,8,2,3,1,0,0.0
35,T1,02/09/2018,Kasimpasa,Ankaragucu,2,1,E,1,0,E,10,15,4,7,8,11,5,6,1,3,0,0.0
36,T1,14/09/2018,Galatasaray,Kasimpasa,4,1,E,0,0,B,15,16,5,6,11,14,4,7,1,2,0,0.0
37,T1,15/09/2018,Ankaragucu,Akhisar Belediyespor,1,0,E,1,0,E,7,12,1,4,19,11,2,12,2,3,0,0.0
38,T1,15/09/2018,Besiktas,Yeni Malatyaspor,2,1,E,0,0,B,17,10,6,6,14,15,10,5,3,3,1,0.0
39,T1,15/09/2018,Goztep,Kayserispor,2,0,E,2,0,E,16,9,6,1,11,10,4,1,1,2,0,0.0
40,T1,16/09/2018,Basaksehir,Antalyaspor,4,0,E,1,0,E,15,8,6,3,11,8,4,2,0,2,0,0.0
41,T1,16/09/2018,Konyaspor,Fenerbahce,0,1,D,0,0,B,15,10,6,2,10,11,6,6,3,1,0,0.0
42,T1,16/09/2018,Rizespor,Bursaspor,1,1,B,0,1,D,12,9,5,4,25,19,3,3,0,2,0,0.0
43,T1,16/09/2018,Sivasspor,Erzurum BB,2,2,B,1,1,B,20,11,7,5,12,10,3,2,0,2,0,0.0
44,T1,17/09/2018,Alanyaspor,Trabzonspor,1,0,E,1,0,E,16,11,7,5,19,9,4,6,1,2,0,0.0
45,T1,21/09/2018,Bursaspor,Basaksehir,0,0,B,0,0,B,13,7,4,1,10,14,1,4,1,4,0,0.0
46,T1,21/09/2018,Erzurum BB,Ankaragucu,0,1,D,0,0,B,25,3,8,1,14,8,12,2,3,2,0,1.0
47,T1,22/09/2018,Kayserispor,Konyaspor,0,2,D,0,2,D,17,8,4,5,18,7,6,5,1,2,0,0.0
48,T1,22/09/2018,Trabzonspor,Goztep,1,2,D,0,2,D,13,5,5,2,12,12,4,2,2,4,0,0.0
49,T1,22/09/2018,Yeni Malatyaspor,Rizespor,1,0,E,1,0,E,23,7,9,1,17,15,10,3,2,3,0,1.0
50,T1,23/09/2018,Akhisar Belediyespor,Galatasaray,3,0,E,0,0,B,10,12,5,3,15,13,1,6,4,3,0,0.0
51,T1,23/09/2018,Antalyaspor,Sivasspor,2,1,E,2,1,E,6,15,3,2,14,7,6,4,4,1,0,0.0
52,T1,23/09/2018,Kasimpasa,Alanyaspor,1,2,D,0,1,D,24,8,6,3,14,17,7,0,2,3,0,0.0
53,T1,24/09/2018,Fenerbahce,Besiktas,1,1,B,0,1,D,13,11,7,4,13,16,2,7,1,5,0,1.0
54,T1,28/09/2018,Galatasaray,Erzurum BB,1,0,E,0,0,B,12,10,7,1,12,12,10,6,3,2,0,0.0
55,T1,29/09/2018,Alanyaspor,Akhisar Belediyespor,2,1,E,1,0,E,5,6,3,1,17,9,2,8,4,2,1,0.0
56,T1,29/09/2018,Besiktas,Kayserispor,2,0,E,1,0,E,12,9,4,3,10,11,6,3,1,0,0,0.0
57,T1,29/09/2018,Trabzonspor,Kasimpasa,4,2,E,1,2,D,19,16,7,9,14,11,7,6,2,3,0,0.0
58,T1,30/09/2018,Goztep,Konyaspor,3,2,E,2,0,E,13,10,9,2,11,15,7,6,3,4,0,0.0
59,T1,30/09/2018,Rizespor,Fenerbahce,3,0,E,3,0,E,9,17,4,5,11,15,5,7,1,1,0,0.0
60,T1,30/09/2018,Sivasspor,Bursaspor,2,0,E,1,0,E,9,7,3,3,23,14,5,6,2,4,0,0.0
61,T1,01/10/2018,Ankaragucu,Antalyaspor,0,1,D,0,1,D,14,11,3,6,10,18,5,8,2,5,0,0.0
62,T1,01/10/2018,Basaksehir,Yeni Malatyaspor,1,1,B,0,1,D,14,11,6,3,11,9,12,2,2,2,0,0.0
63,T1,05/10/2018,Kasimpasa,Goztep,3,1,E,1,0,E,19,12,5,5,16,9,6,5,1,0,0,0.0
64,T1,06/10/2018,Antalyaspor,Galatasaray,0,1,D,0,0,B,5,15,0,7,15,14,5,7,1,3,0,0.0
65,T1,06/10/2018,Bursaspor,Ankaragucu,1,0,E,1,0,E,13,7,5,2,19,11,10,5,1,0,0,0.0
66,T1,06/10/2018,Erzurum BB,Alanyaspor,1,0,E,0,0,B,13,6,4,1,10,15,6,5,2,2,0,0.0
67,T1,06/10/2018,Kayserispor,Rizespor,2,2,B,0,1,D,14,6,4,2,11,14,5,6,1,3,1,1.0
68,T1,07/10/2018,Akhisar Belediyespor,Trabzonspor,1,3,D,0,2,D,11,10,4,4,15,16,5,5,1,3,0,0.0
69,T1,07/10/2018,Fenerbahce,Basaksehir,0,0,B,0,0,B,16,9,4,3,15,16,7,6,5,4,0,0.0
70,T1,07/10/2018,Konyaspor,Besiktas,2,2,B,1,0,E,15,7,5,4,18,10,9,4,6,7,0,1.0
71,T1,07/10/2018,Yeni Malatyaspor,Sivasspor,4,4,B,1,3,D,23,12,8,5,13,13,5,3,3,4,0,1.0
72,T1,19/10/2018,Galatasaray,Bursaspor,1,1,B,0,0,B,10,13,3,3,6,18,1,6,1,5,0,0.0
73,T1,20/10/2018,Basaksehir,Kayserispor,1,0,E,1,0,E,14,7,3,2,15,14,8,4,4,3,0,0.0
74,T1,20/10/2018,Kasimpasa,Akhisar Belediyespor,5,0,E,0,0,B,16,16,6,5,18,16,3,7,1,3,0,0.0
75,T1,20/10/2018,Sivasspor,Fenerbahce,0,0,B,0,0,B,17,13,4,4,14,14,3,4,2,1,0,0.0
76,T1,21/10/2018,Alanyaspor,Antalyaspor,0,1,D,0,1,D,12,10,0,3,15,14,7,4,3,4,1,0.0
77,T1,21/10/2018,Ankaragucu,Yeni Malatyaspor,1,0,E,1,0,E,7,10,3,2,21,19,6,6,4,4,0,0.0
78,T1,21/10/2018,Goztep,Besiktas,2,0,E,0,0,B,10,10,5,2,18,14,5,6,3,2,0,0.0
79,T1,21/10/2018,Rizespor,Konyaspor,1,1,B,1,0,E,9,14,3,4,20,21,3,7,2,0,1,0.0
80,T1,22/10/2018,Trabzonspor,Erzurum BB,0,0,B,0,0,B,13,10,1,4,10,14,7,5,1,3,0,0.0
81,T1,26/10/2018,Bursaspor,Alanyaspor,2,0,E,2,0,E,12,7,7,0,17,17,2,6,1,0,0,
82,T1,27/10/2018,Antalyaspor,Trabzonspor,1,1,B,1,1,B,12,11,7,4,14,15,5,3,2,1,0,0.0
83,T1,27/10/2018,Erzurum BB,Kasimpasa,1,1,B,1,0,E,14,18,5,7,18,9,6,8,4,1,1,0.0
84,T1,27/10/2018,Konyaspor,Basaksehir,0,1,D,0,0,B,9,7,1,4,11,15,3,2,1,0,0,0.0
85,T1,28/10/2018,Fenerbahce,Ankaragucu,1,3,D,0,1,D,13,17,3,8,16,21,5,7,4,5,1,0.0
86,T1,28/10/2018,Kayserispor,Sivasspor,2,0,E,0,0,B,10,14,4,2,13,14,3,5,4,6,0,1.0
87,T1,28/10/2018,Yeni Malatyaspor,Galatasaray,2,0,E,1,0,E,12,14,5,2,16,13,5,5,2,1,0,0.0
88,T1,29/10/2018,Akhisar Belediyespor,Goztep,1,0,E,1,0,E,11,13,4,3,18,14,3,3,3,4,0,0.0
89,T1,29/10/2018,Besiktas,Rizespor,4,1,E,2,0,E,26,5,12,2,12,12,7,2,3,2,0,2.0
90,T1,02/11/2018,Galatasaray,Fenerbahce,2,2,B,1,0,E,16,17,3,5,9,16,6,4,1,4,0,0.0
91,T1,03/11/2018,Akhisar Belediyespor,Erzurum BB,1,1,B,1,1,B,10,5,5,1,13,16,3,2,2,1,0,0.0
92,T1,03/11/2018,Basaksehir,Besiktas,1,0,E,1,0,E,9,15,3,3,14,14,3,9,2,2,0,0.0
93,T1,03/11/2018,Kasimpasa,Antalyaspor,1,2,D,1,1,B,19,9,6,6,12,14,7,3,2,4,0,0.0
94,T1,04/11/2018,Alanyaspor,Yeni Malatyaspor,0,1,D,0,1,D,17,2,6,1,20,20,10,0,2,3,0,0.0
95,T1,04/11/2018,Ankaragucu,Kayserispor,3,1,E,2,0,E,10,11,5,2,18,18,3,6,0,4,0,1.0
96,T1,04/11/2018,Trabzonspor,Bursaspor,1,1,B,1,0,E,17,14,6,6,16,16,3,6,2,2,0,0.0
97,T1,05/11/2018,Goztep,Rizespor,2,0,E,1,0,E,12,13,6,2,11,8,6,13,0,1,0,0.0
98,T1,05/11/2018,Sivasspor,Konyaspor,0,0,B,0,0,B,17,10,3,2,23,13,12,3,2,4,0,1.0
99,T1,09/11/2018,Yeni Malatyaspor,Trabzonspor,5,0,E,2,0,E,10,15,6,5,14,6,2,2,1,1,0,0.0
100,T1,10/11/2018,Erzurum BB,Goztep,2,1,E,1,0,E,7,9,4,3,14,9,2,6,2,2,0,0.0
101,T1,10/11/2018,Kayserispor,Galatasaray,0,3,D,0,1,D,12,11,3,6,13,9,4,3,5,3,1,0.0
102,T1,10/11/2018,Konyaspor,Ankaragucu,2,0,E,0,0,B,15,7,3,2,15,16,3,4,1,2,0,0.0
103,T1,10/11/2018,Rizespor,Basaksehir,1,2,D,0,0,B,6,13,2,4,14,10,4,4,2,1,0,0.0
104,T1,11/11/2018,Antalyaspor,Akhisar Belediyespor,1,2,D,0,0,B,17,5,6,3,10,17,8,7,3,1,0,0.0
105,T1,11/11/2018,Besiktas,Sivasspor,1,2,D,1,1,B,9,10,2,3,14,14,6,5,4,3,0,0.0
106,T1,11/11/2018,Bursaspor,Kasimpasa,1,2,D,1,1,B,24,10,4,4,17,14,6,6,3,1,0,0.0
107,T1,11/11/2018,Fenerbahce,Alanyaspor,2,0,E,2,0,E,12,10,5,3,11,17,3,6,2,2,0,0.0
108,T1,23/11/2018,Galatasaray,Konyaspor,1,1,B,0,0,B,13,8,2,2,12,14,0,3,1,3,1,0.0
109,T1,24/11/2018,Alanyaspor,Kayserispor,5,0,E,1,0,E,15,5,10,1,20,11,9,2,3,5,0,0.0
110,T1,24/11/2018,Ankaragucu,Besiktas,1,4,D,0,3,D,15,15,4,6,18,15,4,5,2,2,0,0.0
111,T1,24/11/2018,Erzurum BB,Antalyaspor,1,0,E,0,0,B,14,7,2,1,12,12,7,3,3,0,0,0.0
112,T1,25/11/2018,Akhisar Belediyespor,Bursaspor,2,4,D,2,1,E,6,19,3,7,13,11,3,7,0,2,0,0.0
113,T1,25/11/2018,Kasimpasa,Yeni Malatyaspor,3,0,E,1,0,E,21,17,9,2,19,9,7,4,2,1,0,0.0
114,T1,25/11/2018,Sivasspor,Rizespor,1,1,B,0,0,B,25,9,6,4,14,7,19,3,2,3,1,0.0
115,T1,25/11/2018,Trabzonspor,Fenerbahce,2,1,E,0,0,B,26,11,8,3,11,17,6,6,3,3,0,0.0
116,T1,26/11/2018,Goztep,Basaksehir,0,2,D,0,1,D,15,15,4,7,8,13,7,1,4,3,0,0.0
117,T1,30/11/2018,Konyaspor,Alanyaspor,2,0,E,0,0,B,9,8,4,2,10,10,2,3,3,2,0,1.0
118,T1,30/11/2018,Rizespor,Ankaragucu,1,1,B,0,1,D,21,10,6,4,12,6,7,2,3,2,0,0.0
119,T1,01/12/2018,Antalyaspor,Goztep,1,0,E,1,0,E,8,15,4,3,17,17,6,4,1,1,0,0.0
120,T1,01/12/2018,Basaksehir,Sivasspor,0,1,D,0,1,D,16,9,2,1,8,15,6,0,3,3,0,0.0
121,T1,01/12/2018,Kayserispor,Trabzonspor,0,2,D,0,0,B,7,18,2,7,15,16,2,5,5,1,0,0.0
122,T1,02/12/2018,Besiktas,Galatasaray,1,0,E,1,0,E,14,10,5,2,21,14,6,5,4,4,0,0.0
123,T1,02/12/2018,Bursaspor,Erzurum BB,2,1,E,1,1,B,13,8,4,2,19,13,2,3,2,1,0,0.0
124,T1,03/12/2018,Fenerbahce,Kasimpasa,2,2,B,2,1,E,21,16,3,3,11,19,8,2,3,1,0,0.0
125,T1,03/12/2018,Yeni Malatyaspor,Akhisar Belediyespor,1,1,B,1,0,E,9,7,3,3,16,13,0,0,4,3,0,0.0
126,T1,07/12/2018,Alanyaspor,Besiktas,0,0,B,0,0,B,13,9,3,3,15,16,7,10,3,2,0,0.0
127,T1,08/12/2018,Galatasaray,Rizespor,2,2,B,1,0,E,20,18,8,8,11,12,8,4,2,1,0,0.0
128,T1,08/12/2018,Sivasspor,Goztep,2,0,E,0,0,B,15,7,6,1,13,13,7,3,3,4,0,1.0
129,T1,08/12/2018,Trabzonspor,Konyaspor,3,0,E,0,0,B,18,7,6,2,13,13,5,2,2,3,0,0.0
130,T1,09/12/2018,Akhisar Belediyespor,Fenerbahce,3,0,E,1,0,E,12,16,4,4,13,7,2,7,2,1,0,0.0
131,T1,09/12/2018,Bursaspor,Antalyaspor,0,2,D,0,2,D,13,6,4,3,21,11,9,0,4,1,0,0.0
132,T1,09/12/2018,Erzurum BB,Yeni Malatyaspor,1,3,D,1,0,E,15,9,5,5,10,15,9,4,0,3,0,0.0
133,T1,10/12/2018,Ankaragucu,Basaksehir,0,1,D,0,1,D,8,15,1,8,10,14,0,7,0,1,0,0.0
134,T1,10/12/2018,Kasimpasa,Kayserispor,0,3,D,0,1,D,25,17,5,10,13,15,11,3,3,2,0,0.0
135,T1,14/12/2018,Goztep,Bursaspor,0,0,B,0,0,B,8,6,2,3,15,13,3,6,1,3,0,0.0
136,T1,15/12/2018,Basaksehir,Galatasaray,1,1,B,1,1,B,17,9,5,4,12,13,7,2,4,2,0,0.0
137,T1,15/12/2018,Konyaspor,Kasimpasa,3,2,E,0,0,B,10,20,3,6,9,10,3,8,2,6,0,0.0
138,T1,15/12/2018,Rizespor,Alanyaspor,1,1,B,0,1,D,16,16,8,6,19,17,9,5,4,3,0,0.0
139,T1,15/12/2018,Sivasspor,Ankaragucu,4,0,E,2,0,E,19,10,8,4,13,12,9,6,1,4,0,0.0
140,T1,16/12/2018,Besiktas,Trabzonspor,2,2,B,0,1,D,18,14,8,7,16,14,10,8,3,1,0,0.0
141,T1,16/12/2018,Kayserispor,Akhisar Belediyespor,1,0,E,0,0,B,13,7,5,2,19,8,3,6,2,1,0,0.0
142,T1,16/12/2018,Yeni Malatyaspor,Antalyaspor,2,0,E,2,0,E,12,8,3,1,16,18,2,2,2,4,1,1.0
143,T1,17/12/2018,Fenerbahce,Erzurum BB,2,2,B,2,0,E,14,6,5,3,11,17,7,1,0,3,0,0.0
144,T1,22/12/2018,Alanyaspor,Basaksehir,1,1,B,0,1,D,13,12,7,6,13,12,1,3,3,2,1,0.0
145,T1,22/12/2018,Ankaragucu,Goztep,0,3,D,0,0,B,13,11,1,4,16,18,4,3,2,1,0,0.0
146,T1,22/12/2018,Kasimpasa,Besiktas,4,1,E,2,0,E,12,16,7,6,14,15,4,3,3,3,0,0.0
147,T1,23/12/2018,Bursaspor,Yeni Malatyaspor,1,1,B,1,0,E,8,4,2,1,13,11,5,1,1,3,0,1.0
148,T1,23/12/2018,Erzurum BB,Kayserispor,1,1,B,1,1,B,20,7,5,3,14,12,5,3,2,6,0,0.0
149,T1,23/12/2018,Galatasaray,Sivasspor,4,2,E,2,2,B,15,16,5,7,18,4,7,5,2,2,0,0.0
150,T1,23/12/2018,Trabzonspor,Rizespor,4,1,E,1,0,E,18,13,5,6,18,9,6,4,4,2,0,0.0
151,T1,24/12/2018,Akhisar Belediyespor,Konyaspor,0,0,B,0,0,B,8,10,3,3,14,15,0,4,3,3,0,0.0
152,T1,24/12/2018,Antalyaspor,Fenerbahce,0,0,B,0,0,B,7,19,3,6,12,11,2,9,1,4,0,1.0
